subject,courseNumber,courseTitle,description
MUS,180F,CLASSICAL PIANO,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180G,JAZZ PIANO,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180J,CARILLON,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180K,JAZZ GUITAR,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180N,CLASSICAL GUITAR,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180P,PIANO PROFICIENCY,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180Q,ORGAN,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180R,VIOLIN,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180S,VIOLA,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180T,VIOLONCELLO,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180U,ACOUSTIC STRING BASS JAZZ,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,180V,HARP,"2 Units,  Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Voice; F. Classical Piano; G. Jazz Piano; I. Harpsichord; J. Carillon; K. Jazz Guitar; L. Electric Bass Guitar; M. Lute; N. Classical Guitar; O. Viola da gamba; P. Piano Proficiency; Q. Organ; R. Violin; S. Viola; T. Violoncello; U. Double Bass Viol; V. Harp. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181E,TRUMPET,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181F,TROMBONE,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181G,TUBA,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181I,FRENCH HORN,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181J,FLUTE,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181K,OBOE,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181L,CLARINET,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181N,SAXOPHONE,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,181P,DRUM SET,"2 Units, Studio, 1 hour; individual study, 5-10 hours. Prerequisite(s): consent of instructor. Consists of an one-hour lesson and practice for 5 to 10 hours each week (see the note regarding fees under the Major Requirements section). Offered as demand indicates. E. Trumpet; F. Trombone; G. Tuba; I. French Horn; J. Flute; K. Oboe; L. Clarinet; M. Bassoon; N. Saxophone; O. Recorder; P. Percussion; R. Bagpipe; S. Scottish Drums; Z. Caribbean Steele Pan. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of performance before a jury or at a recital. Repeatable."
MUS,198I,INDIVIDUAL INTERNSHIP,"1 to 12 Units, variable hours, Prerequisite(s): upper-division standing; evidence of prior arrangements with the professional(s) involved; approval by the department chair after consulting the music faculty. Work with an appropriate professional individual or organization to gain experience and skill in the student's chosen specialty. Graded Satisfactory (S) or No Credit (NC). May be repeated to a total of 16 units."
MUS,207C,PROSEMINAR IN ETHNOMUSICOLOGY: PUBLIC SECTOR,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s):  graduate standing;  or consent of instructor. Explores ethnomusicology careers in the public sphere outside educational institutions. Draws from ethnomusicology, folklore, anthropology, and public history. Covers archives, museums, non-profit organizations, tourism, prisons, community-driven cultural projects, and public writing. Addresses national, state, and local infrastructures. Explores the skills, methods, and ethics involved in a public sphere career."
MUS,262,SEMINAR IN WESTERN MUSIC HISTORY,"4 Units, Seminar, 3 hours; individual study, 3 hours. Prerequisite(s): MUS 206, graduate standing; or consent of instructor Addresses selected issues in the history of music in the context of the social, political, religious, and intellectual culture of the West.  Focuses on historical and analytical literature on particular historical periods. Course is repeatable."
MUS,265,"ELECTROACOUSTIC MUSIC:  HISTORY, THEORY, AND AESTHETICS","4 Units, Lecture, 3 hours; individual study, 4 hours. Prerequisite(s): graduate standing or consent of instructor. Focuses on historical, theoretical, and esthetic issues of electroacoustic music from the beginning of the twentieth century to the present. Topics include foundations of electroacoustic music, electronic music studios, analog and digital technology, sound art, and live electronics. Includes listening to and analysis of key works of electroacoustic music."
MUS,271,AREA STUDIES RESEARCH IN MUSIC,"4 Units, Seminar,3 hours; extra reading; 2 hours; listening, 1 hour, Prerequisite(s): graduate standing or consent of instructor. Focuses on historical and ethnographic literature of particular geographical areas. Discusses scholarly literature on music (and expressive culture generally, including dance, theater, and ritual) of a particular geocultural region. Course is repeatable as topics change to a maximum of 8 units."
MUS,290,DIRECTED STUDIES,"1 to 6 Units, Seminar 1 to 6 hours. Prerequisite(s): graduate standing. Directed studies. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
MUS,291,INDIVIDUAL STUDY IN COORDINATED AREAS,"1 to 6 Units, Individual Study, 6 to 25 hours.  Prerequisite(s): graduate standing; consent of instructor and graduate advisor. A program of study designed to assist graduate candidates who are preparing for M.A. comprehensive or Ph.D. qualifying examinations. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
MUS,292,CONCURRENT ANALYTICAL STUDIES IN MUSIC,"1 to 4 Units, Prerequisite(s): graduate standing; approval of instructor and graduate advisor. Each 292 course will be taken concurrently with some 100-series course but on an individual basis. It will be devoted to research, criticism, and written work of a graduate order commensurate with the number of units elected. Graded Satisfactory (S) or No Credit (NC). May be repeated for credit."
MUS,293,COMPOSITION PRACTICUM,"1 Units, Lecture, 1 hour; practicum, 8 hours per quarter; individual study, 3 hours; Studio, 16 hours per quarter. Prerequisite(s): graduate standing or consent of instructor. A series of performance activities and appreciation for composers.  Includes production of a composition concert and attendance at designated presentations in music and scholarship.  Addresses career and job market guidance. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 6 units."
MUS,297,DIRECTED RESEARCH,"1 to 6 Units, Research, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor; graduate advisor. Individual graduate student research under the sponsorship of specific faculty members.  Addresses topics and selected problems in theoretical and historical research in music not directly related to student's thesis. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
MUS,299,RESEARCH FOR THESIS OR DISSERTATION,"1 to 12 Units, Thesis, 3 to 36 hours. Prerequisite(s): graduate standing; or consent of instructor. Research for Thesis or Dissertation. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
MUS,301,DIRECTED STUDIES IN THE TEACHING OF MUSIC,"3 Units, Seminar, 2 hours; consultation, 1 hour. Prerequisite(s): graduate standing. A program of weekly meetings and individual formative evaluation required of new Music teaching assistants. Covers instructional methods and classroom/section activities. Conducted by department faculty. Graded Satisfactory (S) or No Credit (NC)."
MUS,302,TEACHING PRACTICUM,"1 Unit, Practicum, 3 hours. Prerequisite(s):  appointment as a teaching assistant in Music;  graduate standing;  or consent of instructor. Supervised teaching in undergraduate Music courses.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
NASC,092,DISCOVERING FACULTY SEMINAR,"1 Units, Seminar, 10 to 15 hours per quarter. Prerequisite(s): freshman or sophomore standing; or consent of instructor. Introduction to one of the many areas of study explored by the faculty and alumni of natural and agricultural sciences in a small-group, highly interactive format. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 3 units of any combination of ENGR 092, HASS 092, and NASC 092; students may enroll in only 1 unit of ENGR 092, HASS 092, or NASC 092 per quarter."
NASC,171,GLOBALIZATION,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s):  restricted to class level standing of junior, or  senior. Covers technological drivers of globalization.  Includes social, economic, and political consequences. Explores the cultural aspects of globalization, including barriers and drivers for economic and cultural interdependence and integration. Also explores virtual global organizations.     Cross-listed with ENGR 171, and PBPL 171."
NASC,188,INTRODUCTION TO ORAL PRESENTATIONS,"2 Units, Seminar, 1 hour; discussion, 1 hour. Prerequisite(s): enrollment in the MARC-USTAR program. Prepares science majors for oral presentations and formal research talks.  Includes student presentations and discussions.  Also covers the electronic preparation of figures and tables."
NASC,192,INTRODUCTION TO STEM TEACHING,"1 Units, Seminar, 1 hour. Prerequisite(s): EDUC 003, may be taken concurrently;  Restricted to class level standing of sophomore, junior, or  senior;  and consent of instructor. Covers preparation for a career in mathematics and science teaching in the K-12 classroom. Includes introduction to science/math pedagogy and evaluation of student learning. Designed for students who plan to teach science or mathematics in the public school system."
NASC,192L,INTRODUCTION TO STEM TEACHING LABORATORY,"1 Unit, Discussion, 1 hour; laboratory, 2 hours. Prerequisite(s): EDUC 003, may be taken concurrently, NASC 192, may be taken concurrently;  Restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Covers preparation for a career in mathematics and science teaching in the K-12 classroom. Includes introduction to science/math pedagogy and evaluation of student learning. Laboratory field work includes participation and observation in public school classrooms."
NASC,198,RCRS: R CODING BASICS,"1 Unit, Activity, 1 to 3 hours. Prerequisite(s): permission needed from department; sophomore standing or better. An opportunity for UCR undergraduate students to develop leadership skills, innovate the undergraduate curriculum, and promote democratic, experiential education. Original course topics are variable and unique from other departmental course offerings, designed to highlight the student facilitators' expertise while working closely with a faculty mentor. Graded Satisfactory (S) or No Credit (NC).Course is repeatable as topics change to a maximum of 8 units."
NEM,120,SOIL ECOLOGY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIOL 002 or BIOL 005A, BIOL 05LA; CHEM 001C, CHEM 01LC or CHEM 01HC, CHEM 1HLC; ENSC 100;  or consent of instructor. A study of soil biota and their relationships with plants and the soil environment. Emphasizes life strategies of soil organisms and methods to study them. Examines importance of microbial and faunal groups from the rhizosphere to the ecosystem. Explores impact on soil fertility, carbon and nitrogen cycles, and Earth's climate.     Cross-listed with ENSC 120."
NEM,190,SPECIAL STUDIES,"1 to 4 Units, Individual Study, 3 to 12 hours. Prerequisite(s): consent of instructor and Department Chair. Individual study, directed by a faculty member, to meet special curricular needs. A written report is required. Course is repeatable."
NEM,197,RESEARCH FOR UNDERGRADUATES,"1 to 4 Units, Laboratory, 3 to 12 hours. Prerequisite(s): upper-division standing. Research in nematology with the guidance of a Nematology faculty member. A written report is required. Course is repeatable."
NEM,199,SENIOR RESEARCH,"2 to 4 Units, Laboratory, 6 to 12 hours. Prerequisite(s): senior standing, a grade of ""B+"" or better in an upper-division Biology course, a grade of ""B+"" or better in an upper-division Nematology course; or consent of instructor. Individual research on a problem relating to Nematology. A written proposal signed by the supervising faculty member must be approved by the major advisor and the department chair and a written report filed with the supervising faculty member.  Course is repeatable to a maximum of 9 units."
NEM,250,SEMINAR IN NEMATOLOGY,"1 Unit, Seminar, 1 hour. Prerequisite(s): graduate standing or consent of instructor. Intensive study of selected topics in nematology. Includes lectures by students, staff, faculty, and invited scholars on related subjects. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
NEM,290,DIRECTED STUDIES,"1 to 6 Units, Prerequisite(s): graduate standing. Individual studies on specially selected topics in nematology under the direction of a staff member. Graded Satisfactory (S) or No Credit (NC)."
NEM,297,DIRECTED RESEARCH,1 to 6 Units.  Research 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor. Experimental studies on specially selected topics in nematology under the direction of a staff member. Graded Satisfactory (S) or No Credit (NC).
NRSC,200B,FUNDAMENTALS OF NEUROSCIENCE,"3 Units, Lecture, 3 hours. Prerequisite(s): graduate standing or consent of instructor; NRSC 200A/PSYC 200A. The fundamentals of neuroscience in molecular and cellular mechanisms, neural and hormonal systems, and neural control of behavior. Cross-listed with PSYC 200B."
NRSC,202,ADVANCED METHODS IN NEUROSCIENCE,"3 Units, Lecture, 3 hours. Prerequisite(s):  graduate standing;  or consent of instructor. Covers topics on a variety of advanced methods in neuroscience research including molecular, genetic, anatomical, physiological, and behavioral approaches. Provides a deeper understanding of experimental approaches related to thesis research as well as other studies in the literature.  May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor."
NRSC,287,COLLOQUIUM IN NEUROSCIENCE,"1 Unit, Colloquium, 1 hour. Prerequisite(s):  restricted to major(s) Neuroscience, Psychology;  graduate standing;  or consent of instructor. Involves oral presentations on current research topics in neuroscience by visiting scholars, faculty, and students.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable.  Cross-listed with PSYC 287."
NRSC,290,DIRECTED STUDIES,"1 to 6 Units, Individual Study, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor. Individual study, directed by a faculty member, of specially selected topics in neuroscience. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
NRSC,297,DIRECTED RESEARCH,"1 to 6 Units, Research, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor. Research and experimental studies conducted under the supervision of a faculty member on specially selected topics in neuroscience. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
NRSC,299,RESEARCH FOR THE THESIS OR DISSERTATION,"1 to 12 Units, Research, 3 to 36 hours. Prerequisite(s): graduate standing; consent of instructor. Original research in an area selected for the advanced degree. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
PCST,190,SPECIAL STUDIES,"1 to 5 Units, Consultation, 10 hours per quarter; extra reading, 6 to 9 hours; written work, 3 to 6 hours. Prerequisite(s): upper-division standing; consent of Peace and Conflict Studies Committee chair; consent of faculty advisor is required for students repeating the course. Individual study in the areas of conflict resolution and mediation.  Examines theories in depth, as well as case studies introduced in previous courses."
PCST,197,RESEARCH FOR UNDERGRADUATES,"4 Units, Consultation, 10 hours per quarter; extra reading, 6 hours; written work, 3 hours. Prerequisite(s): upper-division standing; consent of Peace and Conflict Studies Committee chair. Directed original research in the fields of conflict resolution, mediation, and peace studies."
PCST,198I,INDIVIDUAL INTERNSHIP IN PEACE AND CONFLICT STUDIES,"4 Units, Consultation, 1 hour; internship, 8 hours; written work, 3 hours. Prerequisite(s): upper-division standing; consent of Peace and Conflict Studies Committee chair; consent of faculty advisor is required for students repeating the course. Provides internship opportunities in organizations that engage in mediation and conflict resolution.  Includes supervision under an assigned faculty member. Course is repeatable up to 16 units."
PHIL,001,INTRODUCTION TO PHILOSOPHY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introductory exploration into the nature of the individual, his/her place in the universe, and the forces that shape his/her destiny.     Credit is awarded for one of the following  PHIL 001 or PHIL 001H."
PHIL,002,CONTEMPORARY MORAL ISSUES,"4 Units, Lecture, 3 hours; discussion, 1 hour. A philosophical analysis of contemporary moral issues such as abortion, discrimination, sexual morality, punishment, the obligation to obey the law, suicide, euthanasia, war, and privacy.     Credit is awarded for one of the following  PHIL 002 or PHIL 002H."
PHIL,005,EVIL,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. An introduction to the nature of evil, its motivation, and its origins.  Utilizes a variety of sources to examine these themes including classical philosophical texts and contemporary films.     Credit is awarded for one of the following  PHIL 005 or PHIL 005H."
PHIL,005H,HONORS EVIL,"4 Units, Lecture, 3 hours; discussion, 1 hour;  Prerequisite(s): admission to University Honors or consent of instructor. Honors course corresponding to PHIL 005. An introduction to the nature of evil, its motivation, and its origins.  Utilizes a variety of sources to examine these themes, including classical philosophical texts and contemporary films. Satisfactory (S) or No Credit (NC) grading is not available. Credit is awarded for only one of PHIL 005 or PHIL 005H."
PHIL,007,INTRODUCTION TO CRITICAL THINKING,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. A practical examination of reasoning and argument topically illustrated.     Credit is awarded for one of the following  PHIL 007 or PHIL 007H."
PHIL,010,"LANGUAGE, MIND, AND REALITY","4 Units, Lecture, 3 hours, discussion, 1 hour. Prerequisite(s): none.  Explores the nature of language, communication, and mentality and their role in shaping our thought and experience of the world. Tackles questions about the innateness of concepts, the social and rational norms governing communication, the nature of speech acts and their connection to hate speech and pornography, and the scope of mentality. Credit is awarded for only one of PHIL 010 or PHIL 010H."
PHIL,030I,EARLY MODERN PHILOSOPHY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. Introductory surveys of important periods and subjects in the history of Western philosophy. Topics include E. Hellenic Philosophy: Pre-Socratics through Aristotle; F. Hellenistic Philosophy: Epicureans, Stoics, and Skeptics; G. Medieval Philosophy; I. Early Modern Philosophy; J. Late Modern Philosophy; K. Nineteenth-Century Philosophy; M. History of Ethics; N. History of Political Philosophy."
PHIL,101,SOPHOMORE AND JUNIOR LECTURE,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): one course in philosophy; sophomore, junior, or senior standing in Philosophy or Philosophy/Law and Society.  A writing-intensive seminar designed to introduce students to philosophical analysis and writing through an in-depth focus on a philosophical text or issue. Content varies. Credit is awarded for only one of PHIL 100 or PHIL 101."
PHIL,110,ASIAN PHILOSOPHY,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A survey of Asian contributions to philosophy focusing on the Indian and Chinese traditions. Examines questions concerning how best to live one's life, what can be known, the relation between mind and body, whether there are minds and bodies, and the nature of the universe. Cross-listed with CHN 112"
PHIL,121Q,NIETZSCHE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): one course in philosophy or consent of instructor. Each segment covers a major figure in the history of medieval, early modern, or late modern philosophy. E. Aquinas; F. Descartes; G. Leibniz; I. Spinoza; J. Locke; K. Hume; M. Reid; N. Kant; O. Hegel; Q. Nietzsche; R. Royce; S. Freud; T. Heidegger; V. Wittgenstein; X. Kripke. Credit is awarded for only one of PHIL 121Q or PHIL 221Q."
